metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
2,4,3,16,1000,2000,6,18119.9
3,4,1,1,1000,1000,6,3194.85
3,4,1,4,1000,1000,6,11601.2
3,4,1,16,1000,1000,6,25590.5
3,4,2,1,1000,1000,6,24416.6
3,4,2,4,1000,1000,6,20378.9
3,4,2,16,1000,1000,6,30908.4
3,4,3,1,1000,2000,6,7703.36
3,4,3,4,1000,2000,6,16318.3
3,4,3,16,1000,2000,6,38881.8
4,4,1,1,1000,1000,6,5421.97
4,4,1,4,1000,1000,6,6034.05
4,4,1,16,1000,1000,6,13667
4,4,2,1,1000,1000,6,27003.6
4,4,2,4,1000,1000,6,12167.4
4,4,2,16,1000,1000,6,28892.4
4,4,3,1,1000,2000,6,12602.1
4,4,3,4,1000,2000,6,8105.57
4,4,3,16,1000,2000,6,14941.7
5,5,1,1,1000,1000,6,10368.2
5,5,1,4,1000,1000,6,43356.1
5,5,1,16,1000,1000,6,101464
5,5,2,1,1000,1000,6,73964.4
5,5,2,4,1000,1000,6,70182.4
5,5,2,16,1000,1000,6,135039
5,5,3,1,1000,2000,6,24652.8
5,5,3,4,1000,2000,6,52741.4
5,5,3,16,1000,2000,6,104685
6,5,1,1,1000,1000,6,24629.1
6,5,1,4,1000,1000,6,13249.6
6,5,1,16,1000,1000,6,17250
6,5,2,1,1000,1000,6,91731.4
6,5,2,4,1000,1000,6,33156.8
6,5,2,16,1000,1000,6,21529.1
6,5,3,1,1000,2000,6,51958.5
6,5,3,4,1000,2000,6,20494.4
6,5,3,16,1000,2000,6,21914.9
1,4,4,1,100,20000,6,416679
1,4,4,4,100,20000,6,135659
1,4,4,16,100,20000,6,95011.9
2,4,4,1,100,20000,6,1.08073e+06
2,4,4,4,100,20000,6,292298
2,4,4,16,100,20000,6,95341.1
3,4,4,1,100,20000,6,122133
3,4,4,4,100,20000,6,43930
3,4,4,16,100,20000,6,40038.4
4,4,4,1,100,20000,6,265977
4,4,4,4,100,20000,6,73946.3
4,4,4,16,100,20000,6,74893.4
5,5,4,1,100,20000,6,391926
5,5,4,4,100,20000,6,140956
5,5,4,16,100,20000,6,126218
6,5,4,1,100,20000,6,950838
6,5,4,4,100,20000,6,257887
6,5,4,16,100,20000,6,95249.2
1,4,4,1,200,80000,6,1.82242e+06
1,4,4,4,200,80000,6,469869
1,4,4,16,200,80000,6,175463
